camera_id,msg_seq,t1_sec,t1_nsec,t2_sec,t2_nsec,t3_sec,t3_nsec,t4_sec,t4_nsec,lat_t1_t2_ms,lat_t2_t3_ms,lat_t3_t4_ms,lat_t1_t4_total_ms
left,783252026,12933,783252026,12933,792303902,12933,851970324,12933,867757619,12933,869463557,9.052,59.666,15.787,1.706,77.160,86.212
front,813795395,12933,813795395,12933,821764644,12933,851970324,12933,868876150,12933,870190478,7.969,30.206,16.906,1.314,48.426,56.395
right,845391917,12933,845391917,12933,851873160,12933,851970324,12933,869916169,12933,871290857,6.481,0.097,17.946,1.375,19.418,25.899
left,883219108,12933,883219108,12933,892529197,12933,951650114,12933,967145235,12933,968859335,9.310,59.121,15.495,1.714,76.330,85.640
front,913803170,12933,913803170,12933,922835018,12933,951650114,12933,968267794,12933,969412981,9.032,28.815,16.618,1.145,46.578,55.610
right,945391244,12933,945391244,12933,951544779,12933,951650114,12933,969408419,12933,970880318,6.154,0.105,17.758,1.472,19.336,25.489
left,983186468,12933,983186468,12933,992281395,12934,051595068,12934,066905494,12934,068609263,9.095,59.314,15.310,1.704,76.328,85.423
front,13798488,12934,013798488,12934,022308412,12934,051595068,12934,067953829,12934,069445315,8.510,29.287,16.359,1.491,47.137,55.647
right,45367491,12934,045367491,12934,051487422,12934,051595068,12934,069061731,12934,071018984,6.120,0.108,17.467,1.957,19.532,25.651
left,83297884,12934,083297884,12934,092086190,12934,153271462,12934,169673988,12934,171053303,8.788,61.185,16.403,1.379,78.967,87.755
front,113818082,12934,113818082,12934,121355996,12934,153271462,12934,170709282,12934,171993815,7.538,31.915,17.438,1.285,50.638,58.176
right,145370904,12934,145370904,12934,153148525,12934,153271462,12934,171956312,12934,174599183,7.778,0.123,18.685,2.643,21.451,29.228
left,183213755,12934,183213755,12934,192610863,12934,253844590,12934,269331013,12934,271283945,9.397,61.234,15.486,1.953,78.673,88.070
front,213797514,12934,213797514,12934,221544648,12934,253844590,12934,270481331,12934,271897808,7.747,32.300,16.637,1.416,50.353,58.100
right,245368522,12934,245368522,12934,253727397,12934,253844590,12934,271844185,12934,273423216,8.359,0.117,18.000,1.579,19.696,28.055
left,283184180,12934,283184180,12934,296023281,12934,352521907,12934,368115841,12934,369795415,12.839,56.499,15.594,1.680,73.772,86.611
front,313766027,12934,313766027,12934,322402391,12934,352521907,12934,369200023,12934,370760638,8.636,30.120,16.678,1.561,48.358,56.995
right,345378400,12934,345378400,12934,352415661,12934,352521907,12934,370249176,12934,371619977,7.037,0.106,17.727,1.371,19.204,26.242
left,383186212,12934,383186212,12934,392623349,12934,454739876,12934,470198330,12934,471962437,9.437,62.117,15.458,1.764,79.339,88.776
front,413810551,12934,413810551,12934,422901700,12934,454739876,12934,471367100,12934,472588866,9.091,31.838,16.627,1.222,49.687,58.778
right,445398093,12934,445398093,12934,454622575,12934,454739876,12934,472369036,12934,473618551,9.224,0.117,17.629,1.250,18.996,28.220
left,483208702,12934,483208702,12934,494224199,12934,551412825,12934,567148552,12934,569145893,11.015,57.189,15.736,1.997,74.922,85.937
front,513840544,12934,513840544,12934,524232505,12934,551412825,12934,568238944,12934,569536737,10.392,27.180,16.826,1.298,45.304,55.696
right,545384373,12934,545384373,12934,551321420,12934,551412825,12934,569306937,12934,570639194,5.937,0.091,17.894,1.332,19.318,25.255
left,583197236,12934,583197236,12934,592403389,12934,654253017,12934,669543518,12934,670956407,9.206,61.850,15.291,1.413,78.553,87.759
front,613838029,12934,613838029,12934,623631886,12934,654253017,12934,670548456,12934,671857315,9.794,30.621,16.295,1.309,48.225,58.019
right,645393618,12934,645393618,12934,654154384,12934,654253017,12934,671544781,12934,672818308,8.761,0.099,17.292,1.274,18.664,27.425
left,683177861,12934,683177861,12934,691726426,12934,751605199,12934,767088005,12934,768422084,8.549,59.879,15.483,1.334,76.696,85.244
front,713938483,12934,713938483,12934,721307263,12934,751605199,12934,768130067,12934,769302655,7.369,30.298,16.525,1.173,47.995,55.364
right,745352161,12934,745352161,12934,751497398,12934,751605199,12934,769177065,12934,770235637,6.145,0.108,17.572,1.059,18.738,24.883
left,783168017,12934,783168017,12934,791932756,12934,853059703,12934,868366801,12934,869828438,8.765,61.127,15.307,1.462,77.896,86.660
front,813805650,12934,813805650,12934,822607362,12934,853059703,12934,869500094,12934,870810828,8.802,30.452,16.440,1.311,48.203,57.005
right,845394530,12934,845394530,12934,852944127,12934,853059703,12934,870671857,12934,871826156,7.550,0.116,17.612,1.154,18.882,26.432
left,883185617,12934,883185617,12934,891995310,12934,953714636,12934,969063408,12934,970526748,8.810,61.719,15.349,1.463,78.531,87.341
front,913953440,12934,913953440,12934,921547114,12934,953714636,12934,970219068,12934,971403952,7.594,32.168,16.504,1.185,49.857,57.451
right,945353831,12934,945353831,12934,953613204,12934,953714636,12934,971276552,12934,972359666,8.259,0.101,17.562,1.083,18.746,27.006
left,983351700,12934,983351700,12934,992354145,12935,052215578,12935,067581095,12935,069004725,9.002,59.861,15.366,1.424,76.651,85.653
front,13843658,12935,013843658,12935,023206526,12935,052215578,12935,068678944,12935,069810897,9.363,29.009,16.463,1.132,46.604,55.967
right,45396149,12935,045396149,12935,052114544,12935,052215578,12935,069605405,12935,070815286,6.718,0.101,17.390,1.210,18.701,25.419
left,83311356,12935,083311356,12935,095050496,12935,153655234,12935,169371389,12935,171018552,11.739,58.605,15.716,1.647,75.968,87.707
front,113853558,12935,113853558,12935,122442408,12935,153655234,12935,170645998,12935,172157641,8.589,31.213,16.991,1.512,49.715,58.304
right,145490993,12935,145490993,12935,153133069,12935,153655234,12935,172006935,12935,173332723,7.642,0.522,18.352,1.326,20.200,27.842
left,183455978,12935,183455978,12935,192329652,12935,252789350,12935,268230295,12935,269676087,8.874,60.460,15.441,1.446,77.346,86.220
front,213853167,12935,213853167,12935,221564924,12935,252789350,12935,269379886,12935,270630394,7.712,31.224,16.591,1.251,49.065,56.777
right,245409509,12935,245409509,12935,252682071,12935,252789350,12935,270496815,12935,271479290,7.273,0.107,17.707,0.982,18.797,26.070
left,283364443,12935,283364443,12935,293265377,12935,351469501,12935,367093196,12935,368633803,9.901,58.204,15.624,1.541,75.368,85.269
front,313857838,12935,313857838,12935,321495552,12935,351469501,12935,368184816,12935,369417996,7.638,29.974,16.715,1.233,47.922,55.560
right,345393494,12935,345393494,12935,351368551,12935,351469501,12935,369220232,12935,370377804,5.975,0.101,17.751,1.158,19.009,24.984
left,383271180,12935,383271180,12935,393671933,12935,453904602,12935,469079706,12935,470545408,10.401,60.233,15.175,1.466,76.873,87.274
front,413810485,12935,413810485,12935,421576136,12935,453904602,12935,470069981,12935,471421779,7.766,32.328,16.165,1.352,49.846,57.611
right,445413299,12935,445413299,12935,453814022,12935,453904602,12935,471116424,12935,472367108,8.401,0.091,17.212,1.251,18.553,26.954
left,483185336,12935,483185336,12935,492902430,12935,551909216,12935,567400617,12935,569126180,9.717,59.007,15.491,1.726,76.224,85.941
front,513841388,12935,513841388,12935,523425279,12935,551909216,12935,568831574,12935,570232592,9.584,28.484,16.922,1.401,46.807,56.391
right,545509028,12935,545509028,12935,551807523,12935,551909216,12935,570133708,12935,571403068,6.298,0.102,18.224,1.269,19.596,25.894
left,583238755,12935,583238755,12935,592464123,12935,652174187,12935,667609409,12935,668979016,9.225,59.710,15.435,1.370,76.515,85.740
front,613858548,12935,613858548,12935,622113599,12935,652174187,12935,668667632,12935,669815747,8.255,30.061,16.493,1.148,47.702,55.957
right,645396842,12935,645396842,12935,651961325,12935,652174187,12935,669684956,12935,670895311,6.564,0.213,17.511,1.210,18.934,25.498
left,683222141,12935,683222141,12935,692255487,12935,752123268,12935,767645944,12935,769098907,9.033,59.868,15.523,1.453,76.843,85.877
front,713802456,12935,713802456,12935,721203595,12935,752123268,12935,768762794,12935,769935580,7.401,30.920,16.640,1.173,48.732,56.133
right,745414142,12935,745414142,12935,752026062,12935,752123268,12935,769725084,12935,770880617,6.612,0.097,17.602,1.156,18.855,25.466
left,783184570,12935,783184570,12935,792209132,12935,851374173,12935,866987877,12935,868434885,9.025,59.165,15.614,1.447,76.226,85.250
front,813816123,12935,813816123,12935,821881013,12935,851374173,12935,868093969,12935,869325312,8.065,29.493,16.720,1.231,47.444,55.509
right,845384159,12935,845384159,12935,851231563,12935,851374173,12935,869104983,12935,870377010,5.847,0.143,17.731,1.272,19.145,24.993
left,883241061,12935,883241061,12935,892440832,12935,951527810,12935,967182833,12935,968564138,9.200,59.087,15.655,1.381,76.123,85.323
front,913883768,12935,913883768,12935,921515008,12935,951527810,12935,968223876,12935,969388911,7.631,30.013,16.696,1.165,47.874,55.505
right,945397071,12935,945397071,12935,951397231,12935,951527810,12935,969257314,12935,970406358,6.000,0.131,17.730,1.149,19.009,25.009
left,983193798,12935,983193798,12935,992073693,12936,052268434,12936,067714397,12936,069275121,8.880,60.195,15.446,1.561,77.201,86.081
