camera_id,msg_seq,t1_sec,t1_nsec,t2_sec,t2_nsec,t3_sec,t3_nsec,t4_sec,t4_nsec,lat_t1_t2_ms,lat_t2_t3_ms,lat_t3_t4_ms,lat_t1_t4_total_ms
right,940174956,32801,940174956,32801,944074898,32801,958555855,32801,959786904,3.900,14.481,1.231,19.612
left,13362372,32802,013362372,32802,020572021,32802,035052277,32802,036845355,7.210,14.480,1.793,23.483
front,26862463,32802,026862463,32802,034405692,32802,049728097,32802,051250341,7.543,15.322,1.522,24.388
right,41524209,32802,041524209,32802,049333997,32802,064461109,32802,067273111,7.810,15.127,2.812,25.749
left,115040307,32802,115040307,32802,122776729,32802,137589612,32802,138845229,7.736,14.813,1.256,23.805
front,130842619,32802,130842619,32802,135028842,32802,149975449,32802,151631040,4.186,14.947,1.656,20.788
right,142788477,32802,142788477,32802,147924070,32802,163398995,32802,164549692,5.136,15.475,1.151,21.761
left,214703486,32802,214703486,32802,221246732,32802,235974350,32802,237105033,6.543,14.728,1.131,22.402
front,228247812,32802,228247812,32802,232618331,32802,247441334,32802,248650333,4.371,14.823,1.209,20.403
right,239469720,32802,239469720,32802,243534846,32802,257936202,32802,259037937,4.065,14.401,1.102,19.568
left,321445870,32802,321445870,32802,327838674,32802,342720019,32802,344042879,6.393,14.881,1.323,22.597
front,334559935,32802,334559935,32802,338298802,32802,353596837,32802,355638518,3.739,15.298,2.042,21.079
right,346090745,32802,346090745,32802,350207953,32802,364768119,32802,365890612,4.117,14.560,1.122,19.800
left,421709284,32802,421709284,32802,428147129,32802,442602222,32802,444262942,6.438,14.455,1.661,22.554
front,435594948,32802,435594948,32802,439616677,32802,455546729,32802,456873084,4.022,15.930,1.326,21.278
right,447164362,32802,447164362,32802,453109241,32802,467838815,32802,469147376,5.945,14.730,1.309,21.983
left,514883551,32802,514883551,32802,522140523,32802,536632634,32802,537999612,7.257,14.492,1.367,23.116
front,533999053,32802,533999053,32802,539379864,32802,554609236,32802,555916856,5.381,15.229,1.308,21.918
right,550240688,32802,550240688,32802,555265361,32802,570205863,32802,571640419,5.025,14.941,1.435,21.400
left,617245729,32802,617245729,32802,623974116,32802,638509671,32802,639972320,6.728,14.536,1.463,22.727
front,630278218,32802,630278218,32802,635066981,32802,649406742,32802,650502276,4.789,14.340,1.096,20.224
right,641686047,32802,641686047,32802,645863060,32802,660359082,32802,661377065,4.177,14.496,1.018,19.691
left,718417572,32802,718417572,32802,724846951,32802,739459747,32802,740683414,6.429,14.613,1.224,22.266
front,731483244,32802,731483244,32802,735196060,32802,750049896,32802,751198140,3.713,14.854,1.148,19.715
right,742757111,32802,742757111,32802,747615836,32802,762265654,32802,763327670,4.859,14.650,1.062,20.571
left,816744872,32802,816744872,32802,823103964,32802,837372795,32802,838678290,6.359,14.269,1.305,21.933
front,830272575,32802,830272575,32802,834925867,32802,850294317,32802,852505964,4.653,15.368,2.212,22.233
